road,lat,lon,chainage,length,condition,name,model_type,id,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
N2,24.513619492781,91.58682551563976,171770.5,1170.5,-,,link,11544.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5184747068085,91.5884815834042,172941.0,14.0,B,Kandigoan Bridge,bridge,11545.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.524590907717602,91.59249474944855,172955.0,1619.0,-,,link,11546.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5307071086267,91.5965079154929,174574.0,1.8,A,NORTH VEVPUR,bridge,11547.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.53139873248235,91.59694999507035,174575.8,177.20000000001164,-,,link,11548.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.532090356338,91.5973920746478,174753.0,3.2,A,NORT DEVPARA 3 CULVERT,bridge,11549.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.53261583591545,91.59772795633795,174756.2,132.79999999998836,-,,link,11550.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5331413154929,91.5980638380281,174889.0,1.5,A,NORTH DEVPARA 2 CULVER,bridge,11551.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5335220544131,91.5983212556807,174890.5,98.5,-,,link,11552.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5339027933333,91.5985786733333,174989.0,5.2,A,NORTH DEVPARA,bridge,11553.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.535185984513852,91.5997300113194,174994.2,352.79999999998836,-,,link,11554.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5364691756944,91.6008813493055,175347.0,1.5,A,NALSUZA,bridge,11555.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.537007835107453,91.60140567602261,175348.5,162.5,-,,link,11556.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.5375464945205,91.6019300027397,175511.0,1.5,A,SODORPUR NOTUNBAZAR,bridge,11557.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
N2,24.53825734936865,91.60261027124935,175512.5,211.5,-,,link,11558.0,321.0,1818.0,958.0,1045.0,179.0,1178.0,196.0,764.0,1932.0,493.0,197.0,353.0,6.0,8071.0,556.0,8203.0
